Gene	SecondarySource	PrimarySource
FST	DrugBank	
ASTL	DGI_druggable	dGene RussLampel HopkinsGroom
TRAPPC3	DrugBank	
TRIM22	DGI_druggable	HopkinsGroom
HCRT	DrugBank;TherapeuticTargetsDatabase	;
DGUOK	DrugBank	
PM20D1	DGI_druggable	dGene RussLampel
MR1	DrugBank;Curated dataset based on clinical trial drug-target interactions	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
CNDP1	DGI_druggable	dGene RussLampel
GUK1	DrugBank	
HDAC9	DrugBank;Curated dataset based on clinical trial drug-target interactions	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
NAALAD2	DGI_druggable	dGene
RELN	DGI_druggable	dGene
PLCZ1	DGI_druggable	RussLampel HopkinsGroom
RELB	DGI_druggable	RussLampel HopkinsGroom
RELA	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
PRX	DrugBank	
ZMPSTE24	DGI_druggable	dGene
TYRP1	DGI_druggable	RussLampel
COX7B	DrugBank	
EGLN3	DrugBank;Curated dataset based on clinical trial drug-target interactions	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
TPCN2	DGI_druggable	RussLampel HopkinsGroom
PARS2	DrugBank	
CLEC17A	DGI_membrane	GO
KCNS3	DGI_druggable	RussLampel HopkinsGroom
CREB1	DrugBank	
PTH2R	DGI_druggable;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
CYP4B1	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
KLK1	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
KLK2	DGI_druggable;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;
KLK3	DGI_druggable;Curated dataset based on clinical trial drug-target interactions	dGene RussLampel HopkinsGroom;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
KLK4	DGI_druggable	dGene RussLampel HopkinsGroom
KLK5	DGI_druggable	dGene RussLampel HopkinsGroom
KLK6	DGI_druggable;DrugBank	dGene RussLampel HopkinsGroom;
KLK7	DGI_druggable;DrugBank	dGene RussLampel HopkinsGroom;
KLK8	DGI_druggable	dGene HopkinsGroom
KLK9	DGI_druggable	dGene RussLampel HopkinsGroom
KRAS	Rahul;DrugBank;Curated dataset based on clinical trial drug-target interactions	Mutations may predict resistance to anti-EGFR therapies (cetuximab, ant-EGFR TKIs).  Mutations may predict sensitivity to MEK inhibitors.  Mutations may be directly targetable by some therapies (immunotherapies, viruses).  Prognostic in some cancer types.;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
OR10G8	DGI_druggable	dGene RussLampel HopkinsGroom
PDE8A	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
PDE8B	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
ORM1	DrugBank	
DBI	DrugBank	
DBH	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
UBA3	Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
MANBA	DGI_druggable	RussLampel
FABP7	DrugBank	
AVPR2	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
RHBDL2	DGI_druggable	dGene
RHBDL3	DGI_druggable	dGene
NRXN1	DGI_membrane	GO
RHBDL1	DGI_druggable	dGene
PARP16	DGI_druggable	HopkinsGroom
HSD3B7	DGI_druggable	RussLampel
GPR62	DGI_druggable	dGene RussLampel HopkinsGroom
HSD3B1	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	RussLampel;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
HSD3B2	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	RussLampel;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
MTRR	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
PAK4	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
ATR	KinasesCuratedByOlenaSofie;DGI_druggable;Rahul;KinasesWitteLab	;dGene RussLampel HopkinsGroom;Biallelic inactivation may predict sensitivity to PARP inhibitors;
PAK6	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
PAK7	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
UQCRC2	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
PAK1	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
PAK2	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
PAK3	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
GGCX	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	RussLampel;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
PAPLN	DGI_druggable	dGene
CHAT	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
NSDHL	DGI_druggable;DrugBank	RussLampel;
KCNG1	DGI_druggable	RussLampel HopkinsGroom
KCNG2	DGI_druggable	RussLampel HopkinsGroom
KCNG3	DGI_druggable	RussLampel HopkinsGroom
KCNG4	DGI_druggable	RussLampel HopkinsGroom
SAA1	DrugBank	
COPS5	DGI_druggable	dGene
SAT1	DrugBank	
PPOX	DGI_druggable	RussLampel HopkinsGroom
MED1	DrugBank	
PARP10	DGI_druggable	HopkinsGroom
PANX1	DrugBank	
PINK1	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel;
SMARCB1	Rahul	Inactivation may predict sensitivity to CDK Inhibitors, Hedgehog Inhibitors, and/or HDAC Inhibitors
OR4C16	DGI_druggable	dGene RussLampel HopkinsGroom
OR4C11	DGI_druggable	dGene RussLampel HopkinsGroom
PDE11A	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
OR4C13	DGI_druggable	dGene RussLampel HopkinsGroom
OR4C12	DGI_druggable	dGene HopkinsGroom
LHCGR	DGI_druggable;DGI_membrane;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;GO;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
GABRA6	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
ASMT	DrugBank	
NEU2	DrugBank	
CYP2D6	DGI_druggable;DrugBank;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;;
ANGPTL6	DGI_druggable	RussLampel HopkinsGroom
GABRA1	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
PKDREJ	DGI_druggable	RussLampel
OR1Q1	DGI_druggable	dGene RussLampel HopkinsGroom
MFSD2A	DGI_druggable	RussLampel
LY75	Computationally obtained list of cell surface genes	Publication_da_Cunha_etal_PMID_19805368
FLT3	KinasesCuratedByOlenaSofie;DGI_druggable;DGI_membrane;Rahul;KinasesWitteLab;DrugBank;Curated dataset based on clinical trial drug-target interactions;Computationally obtained list of cell surface genes;TherapeuticTargetsDatabase	;dGene RussLampel HopkinsGroom;GO;Mutations predict sensitivity to FLT3 inhibitors, sunitinib.  Secondary mutations predict resistance.;;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;Publication_da_Cunha_etal_PMID_19805368;
PLCH2	DGI_druggable	RussLampel HopkinsGroom
DMBT1	DGI_druggable	RussLampel HopkinsGroom
ANGPTL4	DGI_druggable	RussLampel HopkinsGroom
PRKG1	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
GABRA3	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
PRKG2	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
TNS3	DGI_druggable	dGene
ANGPTL3	DGI_druggable	RussLampel HopkinsGroom
NLK	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
AKR1C3	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
FDFT1	DGI_druggable;DrugBank;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;;
ANO1	TherapeuticTargetsDatabase	
NLN	DGI_druggable	dGene RussLampel
GCA	DrugBank	
OR1C1	DGI_druggable	dGene RussLampel HopkinsGroom
IGF1	DrugBank;Curated dataset based on clinical trial drug-target interactions	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
DPYSL2	Curated dataset based on clinical trial drug-target interactions	Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
ANGPTL1	DGI_druggable	RussLampel HopkinsGroom
DLD	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
OR11H12	DGI_druggable	dGene RussLampel HopkinsGroom
GCK	DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
NPFFR2	DGI_druggable	dGene RussLampel HopkinsGroom
MRGPRE	DGI_druggable	dGene HopkinsGroom
OR8D4	DGI_druggable	dGene RussLampel HopkinsGroom
IGFBP3	DrugBank	
TK2	DrugBank	
OR8D1	DGI_druggable	dGene RussLampel HopkinsGroom
OR8D2	DGI_druggable	dGene RussLampel HopkinsGroom
GPR116	DGI_druggable	dGene RussLampel HopkinsGroom
NAGS	DrugBank	
CYP2R1	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
SPPL2C	DGI_druggable	dGene
DKC1	Curated dataset based on clinical trial drug-target interactions	Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
STK32C	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
STK32B	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
STK32A	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
FDX1	DrugBank	
APLNR	DGI_druggable	dGene RussLampel HopkinsGroom
PROZ	DGI_druggable;DrugBank	dGene RussLampel HopkinsGroom;
AZGP1	DrugBank	
CYP8B1	DGI_druggable	RussLampel HopkinsGroom
SLC22A15	DGI_druggable	RussLampel
RPL37	DrugBank	
OPN1MW2	DGI_druggable	dGene
CYP27A1	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
PFN1	DrugBank	
PFN2	DrugBank	
FETUB	DGI_druggable	dGene
PSEN2	DGI_druggable;DGI_membrane;Curated dataset based on clinical trial drug-target interactions	dGene;GO;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
MSLN	DGI_membrane;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	GO;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
PROC	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
S1PR1	DGI_druggable;DGI_membrane;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene HopkinsGroom;GO;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
BTK	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	;dGene RussLampel HopkinsGroom;;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
TRIM6	DGI_druggable	HopkinsGroom
PDGFRB	KinasesCuratedByOlenaSofie;DGI_druggable;Rahul;KinasesWitteLab;DrugBank;Curated dataset based on clinical trial drug-target interactions;Computationally obtained list of cell surface genes	;dGene RussLampel HopkinsGroom;Alterations may predict sensitivity to imatinib and other TKIs;;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;Publication_da_Cunha_etal_PMID_19805368
PDGFRA	KinasesCuratedByOlenaSofie;DGI_druggable;Rahul;KinasesWitteLab;DrugBank;Curated dataset based on clinical trial drug-target interactions;Computationally obtained list of cell surface genes;TherapeuticTargetsDatabase	;dGene RussLampel HopkinsGroom;Alterations may predict sensitivity to imatinib and other TKIs;;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;Publication_da_Cunha_etal_PMID_19805368;
MMP15	DGI_druggable;DrugBank	dGene RussLampel HopkinsGroom;
AMPD3	DGI_druggable	RussLampel HopkinsGroom
TEX14	KinasesCuratedByOlenaSofie;DGI_druggable	;dGene RussLampel HopkinsGroom
AMPD1	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
SCN10A	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
PRKAR2A	DrugBank	
LGR6	DGI_druggable	dGene HopkinsGroom
OR4D6	DGI_druggable	dGene RussLampel HopkinsGroom
GLRA4	DGI_druggable	RussLampel HopkinsGroom
AREG	DGI_membrane	GO
BET1	TherapeuticTargetsDatabase	
USP17L5	DGI_druggable	dGene
CFLAR	DGI_druggable	RussLampel HopkinsGroom
OR2Y1	DGI_druggable	dGene RussLampel HopkinsGroom
ITGA2B	DGI_druggable;DGI_membrane;DrugBank;Curated dataset based on clinical trial drug-target interactions;Computationally obtained list of cell surface genes	RussLampel HopkinsGroom;GO;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;Publication_da_Cunha_etal_PMID_19805368
IDH2	Rahul;DrugBank	Prognostic in GBM.  Mutations may predict sensitivity to IDH inhibitors;
CSF1R	KinasesCuratedByOlenaSofie;DGI_druggable;DGI_membrane;KinasesWitteLab;DrugBank;Curated dataset based on clinical trial drug-target interactions;Computationally obtained list of cell surface genes	;dGene RussLampel HopkinsGroom;GO;;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;Publication_da_Cunha_etal_PMID_19805368
ABCA4	DGI_druggable;Curated dataset based on clinical trial drug-target interactions	RussLampel;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
RPS6KB2	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
MRGPRX4	DGI_druggable	dGene RussLampel HopkinsGroom
GLIPR2	DrugBank	
TNFSF8	Computationally obtained list of cell surface genes	Publication_da_Cunha_etal_PMID_19805368
MRGPRX1	DGI_druggable	dGene RussLampel HopkinsGroom
MRGPRX3	DGI_druggable	dGene RussLampel HopkinsGroom
MRGPRX2	DGI_druggable	dGene RussLampel HopkinsGroom
TPSB2	DGI_druggable;DrugBank	dGene RussLampel HopkinsGroom;
FBXW7	Rahul	Mutation or loss may predict sensitivity to MTOR inhibitors.  Mutations or loss may predict resistance to anti-tubulin chemotherapy
TGFBR3	DGI_membrane;Curated dataset based on clinical trial drug-target interactions	GO;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
TGFBR2	KinasesCuratedByOlenaSofie;DGI_druggable;DGI_membrane;KinasesWitteLab;DrugBank;Curated dataset based on clinical trial drug-target interactions	;dGene RussLampel;GO;;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
TGFBR1	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	;dGene RussLampel;;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
MTMR14	DGI_druggable	dGene
NLGN2	DGI_druggable;DGI_membrane	RussLampel HopkinsGroom;GO
MTMR12	DGI_druggable	dGene
RPS6KL1	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel;
MTMR10	DGI_druggable	dGene
UGDH	DrugBank	
ABCA5	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	RussLampel;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
CELSR3	DGI_druggable	dGene RussLampel HopkinsGroom
CELSR2	DGI_druggable	dGene RussLampel HopkinsGroom
CELSR1	DGI_druggable	dGene RussLampel HopkinsGroom
B4GALT2	DrugBank	
ASGR2	DrugBank	
ALPP	DGI_membrane;DrugBank	GO;
KIF11	DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
SLCO1A2	DGI_druggable;DrugBank	RussLampel;
LRAT	DrugBank	
PPP1CC	DrugBank	
MGST2	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
CMPK1	DrugBank	
NDOR1	DGI_druggable	RussLampel HopkinsGroom
MGST3	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
METAP1D	DGI_druggable	dGene RussLampel HopkinsGroom
PPP1CA	DrugBank	
YOD1	DGI_druggable	dGene
ITPR1	DGI_druggable;DrugBank;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;;
PF4	DrugBank	
PPAT	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
ACO2	DrugBank	
OR5AN1	DGI_druggable	dGene RussLampel HopkinsGroom
F2RL2	DGI_druggable;Curated dataset based on clinical trial drug-target interactions	dGene RussLampel HopkinsGroom;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
F2RL1	DGI_druggable	dGene RussLampel HopkinsGroom
TNFSF4	DGI_membrane;Computationally obtained list of cell surface genes	GO;Publication_da_Cunha_etal_PMID_19805368
AKR7L	DGI_druggable	RussLampel HopkinsGroom
OR5G3	DGI_druggable	dGene
ABCA3	DGI_druggable;DrugBank	RussLampel;
DCXR	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
PRDX5	DrugBank	
PCBD1	DrugBank	
PRDX2	DrugBank	
AGRP	TherapeuticTargetsDatabase	
TPK1	DrugBank	
GPA33	Curated dataset based on clinical trial drug-target interactions	Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
TSTD1	DGI_druggable	HopkinsGroom
CLCNKA	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
NR1D1	DGI_druggable	dGene RussLampel HopkinsGroom
NR1D2	DGI_druggable	dGene RussLampel HopkinsGroom
DRD1	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
OTUB1	DGI_druggable	dGene
EDNRB	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
OTUB2	DGI_druggable	dGene
GNMT	DrugBank	
RDH14	DGI_druggable;DrugBank	HopkinsGroom;
OR6S1	DGI_druggable	dGene RussLampel HopkinsGroom
SLC37A4	DGI_druggable	RussLampel
MAP2	DrugBank	
CAMP	DrugBank;TherapeuticTargetsDatabase	;
FYN	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	;dGene RussLampel HopkinsGroom;;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
RDH16	DGI_druggable	RussLampel HopkinsGroom
APOA1	Curated dataset based on clinical trial drug-target interactions	Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
CDKN2A	Rahul	Biallelic inactivation may predict sensitivity to CDK4/6 inhibitors.
PLA2R1	DGI_membrane	GO
ZAP70	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;DrugBank	;dGene RussLampel HopkinsGroom;;
TDGF1	DGI_membrane	GO
OR5D16	DGI_druggable	dGene HopkinsGroom
CTSW	DGI_druggable	dGene RussLampel
STRADA	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene;
IDH1	Rahul;DrugBank	Prognostic in GBM.  Mutations may predict sensitivity to IDH inhibitors;
ABCA1	DGI_druggable;DrugBank;TherapeuticTargetsDatabase	RussLampel;;
ST3GAL5	DrugBank	
RAC1	DrugBank	
GALNS	DGI_druggable	RussLampel HopkinsGroom
FCGR2C	DrugBank	
FCGR2A	DrugBank;TherapeuticTargetsDatabase	;
VCP	DrugBank	
COL6A1	DGI_druggable	RussLampel
APOE	DGI_membrane;DrugBank;Computationally obtained list of cell surface genes	GO;;Publication_da_Cunha_etal_PMID_19805368
GCGR	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
CYTH3	DrugBank	
NPSR1	DGI_druggable;DrugBank	dGene RussLampel HopkinsGroom;
PAPOLA	DrugBank	
SLC16A9	DGI_druggable	RussLampel
SLC16A8	DGI_druggable;DrugBank	RussLampel;
CYP7B1	DGI_druggable	RussLampel HopkinsGroom
DPH5	DrugBank	
SLC16A1	DGI_druggable;DrugBank	RussLampel;
CALCR	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
SLC16A2	DGI_druggable;DrugBank	RussLampel;
SLC16A5	DGI_druggable;DrugBank	RussLampel;
SLC16A4	DGI_druggable;DrugBank	RussLampel;
SLC16A7	DGI_druggable;DrugBank	RussLampel;
SLC16A6	DGI_druggable;DrugBank	RussLampel;
TUBG1	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
TUBG2	DGI_druggable	RussLampel HopkinsGroom
CANT1	DrugBank	
TARS	DrugBank	
CALCA	DrugBank	
CALCB	DrugBank	
OR13A1	DGI_druggable	dGene RussLampel HopkinsGroom
CMKLR1	DGI_druggable;Curated dataset based on clinical trial drug-target interactions	dGene RussLampel HopkinsGroom;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
